block_timestamp	variable	value
200908	Sockpuppetry	24
200909	Sockpuppetry	39
200910	Sockpuppetry	29
200911	Sockpuppetry	27
200912	Sockpuppetry	22
201001	Sockpuppetry	25
201002	Sockpuppetry	23
201003	Sockpuppetry	37
201004	Sockpuppetry	25
201005	Sockpuppetry	28
201006	Sockpuppetry	18
201007	Sockpuppetry	26
201008	Sockpuppetry	24
201009	Sockpuppetry	21
201010	Sockpuppetry	22
201011	Sockpuppetry	22
201012	Sockpuppetry	26
201101	Sockpuppetry	35
201102	Sockpuppetry	35
201103	Sockpuppetry	35
201104	Sockpuppetry	25
201105	Sockpuppetry	31
201106	Sockpuppetry	31
201107	Sockpuppetry	30
201108	Sockpuppetry	29
201109	Sockpuppetry	25
201110	Sockpuppetry	25
201111	Sockpuppetry	23
201112	Sockpuppetry	17
201201	Sockpuppetry	15
201202	Sockpuppetry	25
201203	Sockpuppetry	24
201204	Sockpuppetry	23
201205	Sockpuppetry	23
201206	Sockpuppetry	24
201207	Sockpuppetry	40
201208	Sockpuppetry	37
201209	Sockpuppetry	34
201210	Sockpuppetry	50
201211	Sockpuppetry	35
201212	Sockpuppetry	28
200601	Username.problems	4
200602	Username.problems	0
200603	Username.problems	6
200604	Username.problems	0
200605	Username.problems	2
200606	Username.problems	41
200607	Username.problems	5
200608	Username.problems	40
200609	Username.problems	9
200610	Username.problems	2
200611	Username.problems	4
200612	Username.problems	7
200701	Username.problems	3
200702	Username.problems	3
200703	Username.problems	18
200704	Username.problems	11
200705	Username.problems	4
200706	Username.problems	11
200707	Username.problems	40
200708	Username.problems	57
200709	Username.problems	28
200710	Username.problems	20
200711	Username.problems	47
200712	Username.problems	140
200801	Username.problems	105
200802	Username.problems	67
200803	Username.problems	73
200804	Username.problems	35
200805	Username.problems	9
200806	Username.problems	4
200807	Username.problems	2
200808	Username.problems	10
200809	Username.problems	82
200810	Username.problems	223
200811	Username.problems	112
200812	Username.problems	5
200901	Username.problems	1
200902	Username.problems	1
200903	Username.problems	1
200904	Username.problems	0
200905	Username.problems	35
200906	Username.problems	2
200907	Username.problems	1
200908	Username.problems	0
200909	Username.problems	0
200910	Username.problems	0
200911	Username.problems	1
200912	Username.problems	0
201001	Username.problems	0
201002	Username.problems	0
201003	Username.problems	0
201004	Username.problems	2
201005	Username.problems	0
201006	Username.problems	0
201007	Username.problems	1
201008	Username.problems	0
201009	Username.problems	0
201010	Username.problems	0
201011	Username.problems	0
201012	Username.problems	0
201101	Username.problems	1
201102	Username.problems	3
201103	Username.problems	0
201104	Username.problems	0
201105	Username.problems	0
201106	Username.problems	0
201107	Username.problems	2
201108	Username.problems	0
201109	Username.problems	1
201110	Username.problems	1
201111	Username.problems	2
201112	Username.problems	0
201201	Username.problems	0
201202	Username.problems	1
201203	Username.problems	0
201204	Username.problems	2
201205	Username.problems	0
201206	Username.problems	0
201207	Username.problems	0
201208	Username.problems	0
201209	Username.problems	0
201210	Username.problems	1
201211	Username.problems	0
201212	Username.problems	0
200601	Proxies	0
200602	Proxies	1
200603	Proxies	0
200604	Proxies	0
200605	Proxies	0
200606	Proxies	0
200607	Proxies	0
200608	Proxies	0
200609	Proxies	0
200610	Proxies	0
200611	Proxies	0
