"month"	"hits"	"regex"	"usergroup"
"201009"	1820	"disruption"	"registered"
"201010"	2018	"disruption"	"registered"
"201011"	1920	"disruption"	"registered"
"201012"	1756	"disruption"	"registered"
"201101"	1819	"disruption"	"registered"
"201102"	1934	"disruption"	"registered"
"201103"	2004	"disruption"	"registered"
"201104"	1901	"disruption"	"registered"
"201105"	1887	"disruption"	"registered"
"201106"	1731	"disruption"	"registered"
"201107"	1445	"disruption"	"registered"
"201108"	1522	"disruption"	"registered"
"201109"	1660	"disruption"	"registered"
"201110"	1882	"disruption"	"registered"
"201111"	1880	"disruption"	"registered"
"201112"	1654	"disruption"	"registered"
"201201"	1910	"disruption"	"registered"
"201202"	1841	"disruption"	"registered"
"201203"	1694	"disruption"	"registered"
"201204"	1342	"disruption"	"registered"
"201205"	1593	"disruption"	"registered"
"201206"	1399	"disruption"	"registered"
"201207"	1287	"disruption"	"registered"
"201208"	1358	"disruption"	"registered"
"201209"	1587	"disruption"	"registered"
"201210"	1714	"disruption"	"registered"
"201211"	1521	"disruption"	"registered"
"201212"	1424	"disruption"	"registered"
"201301"	1510	"disruption"	"registered"
"201302"	1343	"disruption"	"registered"
"201303"	1496	"disruption"	"registered"
"201304"	1377	"disruption"	"registered"
"201305"	1563	"disruption"	"registered"
"201306"	1151	"disruption"	"registered"
"201307"	921	"disruption"	"registered"
"201308"	1110	"disruption"	"registered"
"201309"	1205	"disruption"	"registered"
"201310"	1398	"disruption"	"registered"
"201311"	1651	"disruption"	"registered"
"201312"	1329	"disruption"	"registered"
"201401"	1517	"disruption"	"registered"
"200601"	258	"sockpuppet"	"registered"
"200602"	232	"sockpuppet"	"registered"
"200603"	281	"sockpuppet"	"registered"
"200604"	343	"sockpuppet"	"registered"
"200605"	328	"sockpuppet"	"registered"
"200606"	411	"sockpuppet"	"registered"
"200607"	503	"sockpuppet"	"registered"
"200608"	534	"sockpuppet"	"registered"
"200609"	381	"sockpuppet"	"registered"
"200610"	418	"sockpuppet"	"registered"
"200611"	571	"sockpuppet"	"registered"
"200612"	572	"sockpuppet"	"registered"
"200701"	730	"sockpuppet"	"registered"
"200702"	884	"sockpuppet"	"registered"
"200703"	699	"sockpuppet"	"registered"
"200704"	846	"sockpuppet"	"registered"
"200705"	939	"sockpuppet"	"registered"
"200706"	751	"sockpuppet"	"registered"
"200707"	558	"sockpuppet"	"registered"
"200708"	569	"sockpuppet"	"registered"
"200709"	636	"sockpuppet"	"registered"
"200710"	809	"sockpuppet"	"registered"
"200711"	1010	"sockpuppet"	"registered"
"200712"	833	"sockpuppet"	"registered"
"200801"	1106	"sockpuppet"	"registered"
"200802"	984	"sockpuppet"	"registered"
"200803"	1167	"sockpuppet"	"registered"
"200804"	1114	"sockpuppet"	"registered"
"200805"	1433	"sockpuppet"	"registered"
"200806"	1161	"sockpuppet"	"registered"
"200807"	1692	"sockpuppet"	"registered"
"200808"	1461	"sockpuppet"	"registered"
"200809"	1527	"sockpuppet"	"registered"
"200810"	1441	"sockpuppet"	"registered"
"200811"	1030	"sockpuppet"	"registered"
"200812"	968	"sockpuppet"	"registered"
"200901"	1053	"sockpuppet"	"registered"
"200902"	2446	"sockpuppet"	"registered"
"200903"	1494	"sockpuppet"	"registered"
"200904"	921	"sockpuppet"	"registered"
"200905"	798	"sockpuppet"	"registered"
"200906"	789	"sockpuppet"	"registered"
"200907"	993	"sockpuppet"	"registered"
"200908"	1144	"sockpuppet"	"registered"
"200909"	1179	"sockpuppet"	"registered"
"200910"	987	"sockpuppet"	"registered"
"200911"	992	"sockpuppet"	"registered"
"200912"	954	"sockpuppet"	"registered"
"201001"	831	"sockpuppet"	"registered"
"201002"	780	"sockpuppet"	"registered"
"201003"	1621	"sockpuppet"	"registered"
"201004"	885	"sockpuppet"	"registered"
"201005"	1074	"sockpuppet"	"registered"
"201006"	872	"sockpuppet"	"registered"
"201007"	874	"sockpuppet"	"registered"
"201008"	898	"sockpuppet"	"registered"
"201009"	1108	"sockpuppet"	"registered"
"201010"	1136	"sockpuppet"	"registered"
