timestamp	variable	value
201010	username	356
201011	disruption	6384
201011	misc	115
201011	proxy	11440
201011	sockpuppet	1043
201011	spam	356
201011	username	276
201012	disruption	5436
201012	misc	146
201012	proxy	5841
201012	sockpuppet	809
201012	spam	354
201012	username	200
201101	disruption	5617
201101	misc	167
201101	proxy	16768
201101	sockpuppet	883
201101	spam	358
201101	username	274
201102	disruption	4772
201102	misc	172
201102	proxy	14656
201102	sockpuppet	735
201102	spam	310
201102	username	273
201103	disruption	4869
201103	misc	123
201103	proxy	16121
201103	sockpuppet	886
201103	spam	319
201103	username	325
201104	disruption	4017
201104	misc	85
201104	proxy	8681
201104	sockpuppet	949
201104	spam	246
201104	username	268
201105	disruption	4837
201105	misc	97
201105	proxy	9012
201105	sockpuppet	923
201105	spam	255
201105	username	256
201106	disruption	4935
201106	misc	79
201106	proxy	9118
201106	sockpuppet	898
201106	spam	310
201106	username	267
201107	disruption	5318
201107	misc	77
201107	proxy	9300
201107	sockpuppet	831
201107	spam	320
201107	username	320
201108	disruption	3410
201108	misc	108
201108	proxy	34577
201108	sockpuppet	805
201108	spam	415
201108	username	342
201109	disruption	11183
201109	misc	138
201109	proxy	32384
201109	sockpuppet	875
201109	spam	317
201109	username	325
201110	disruption	7806
201110	misc	125
201110	proxy	25308
201110	sockpuppet	787
201110	spam	393
201110	username	195
201111	disruption	5911
201111	misc	97
201111	proxy	24133
201111	sockpuppet	733
201111	spam	321
201111	username	197
201112	disruption	4148
201112	misc	207
201112	proxy	9997
201112	sockpuppet	642
201112	spam	350
201112	username	211
201201	disruption	4893
201201	misc	123
201201	proxy	10192
201201	sockpuppet	684
201201	spam	369
201201	username	246
201202	disruption	5181
201202	misc	120
201202	proxy	7180
201202	sockpuppet	783
201202	spam	425
201202	username	277
201203	disruption	5507
201203	misc	130
201203	proxy	11416
201203	sockpuppet	623
201203	spam	354
201203	username	226
201204	disruption	4654
201204	misc	111
201204	proxy	7722
201204	sockpuppet	719
201204	spam	605
201204	username	233
201205	disruption	5070
201205	misc	102
201205	proxy	10319
201205	sockpuppet	748
201205	spam	646
201205	username	224
201206	disruption	4697
201206	misc	107
201206	proxy	7002
201206	sockpuppet	860
201206	spam	814
201206	username	214
201207	disruption	4983
201207	misc	86
201207	proxy	6091
201207	sockpuppet	812
201207	spam	581
201207	username	179
201208	disruption	5243
201208	misc	92
201208	proxy	30871
201208	sockpuppet	658
201208	spam	615
201208	username	179
201209	disruption	6288
201209	misc	110
201209	proxy	49793
201209	sockpuppet	669
201209	spam	546
201209	username	177
201210	disruption	6066
201210	misc	113
201210	proxy	32969
201210	sockpuppet	605
201210	spam	501
201210	username	292
201211	disruption	4767
201211	misc	100
201211	proxy	24209
201211	sockpuppet	628
201211	spam	490
201211	username	292
201212	disruption	3737
201212	misc	121
201212	proxy	5227
201212	sockpuppet	631
201212	spam	588
201212	username	330
201301	disruption	4347
201301	misc	127
201301	proxy	13660
201301	sockpuppet	734
201301	spam	718
201301	username	365
201302	disruption	4137
201302	misc	111
201302	proxy	6853
201302	sockpuppet	731
201302	spam	677
201302	username	353
201303	disruption	4102
201303	misc	91
201303	proxy	4719
201303	sockpuppet	786
201303	spam	694
201303	username	362
201304	disruption	4216
201304	misc	104
201304	proxy	4838
201304	sockpuppet	746
201304	spam	492
201304	username	263
201305	disruption	4642
201305	misc	109
201305	proxy	18398
201305	sockpuppet	856
201305	spam	676
201305	username	299
201306	disruption	3210
201306	misc	317
201306	proxy	41289
201306	sockpuppet	778
201306	spam	859
201306	username	353
201307	disruption	1911
201307	misc	82
201307	proxy	54796
201307	sockpuppet	758
201307	spam	885
201307	username	308
201308	disruption	1940
201308	misc	102
201308	proxy	47217
201308	sockpuppet	719
201308	spam	1180
201308	username	260
201309	disruption	3087
201309	misc	107
201309	proxy	205
201309	sockpuppet	647
201309	spam	1087
201309	username	313
201310	disruption	4628
201310	misc	115
201310	proxy	87436
201310	sockpuppet	543
201310	spam	881
201310	username	287
