timestamp	variable	value
200809	username	306
200810	username	353
200811	username	273
200812	username	224
200901	username	302
200902	username	283
200903	username	348
200904	username	385
200905	username	302
200906	username	426
200907	username	467
200908	username	368
200909	username	294
200910	username	340
200911	username	302
200912	username	244
201001	username	366
201002	username	344
201003	username	333
201004	username	245
201005	username	271
201006	username	234
201007	username	321
201008	username	301
201009	username	610
201010	username	356
201011	username	276
201012	username	200
201101	username	274
201102	username	273
201103	username	325
201104	username	268
201105	username	256
201106	username	267
201107	username	320
201108	username	342
201109	username	325
201110	username	195
201111	username	197
201112	username	211
201201	username	246
201202	username	277
201203	username	226
201204	username	233
201205	username	224
201206	username	214
201207	username	179
201208	username	179
201209	username	177
201210	username	292
201211	username	292
201212	username	330
201301	username	365
201302	username	353
201303	username	362
201304	username	263
201305	username	299
201306	username	353
201307	username	308
201308	username	260
201309	username	313
201310	username	287
201311	username	14
200601	proxy	45
200602	proxy	1033
200603	proxy	716
200604	proxy	726
200605	proxy	189
200606	proxy	85
200607	proxy	264
200608	proxy	16
200609	proxy	20
200610	proxy	389
200611	proxy	148
200612	proxy	34
200701	proxy	132
200702	proxy	147
200703	proxy	90
200704	proxy	94
200705	proxy	728
200706	proxy	605
200707	proxy	617
200708	proxy	1918
200709	proxy	2206
200710	proxy	176
200711	proxy	357
200712	proxy	224
200801	proxy	466
200802	proxy	289
200803	proxy	337
200804	proxy	466
200805	proxy	1971
200806	proxy	820
200807	proxy	2534
200808	proxy	940
200809	proxy	689
200810	proxy	1011
200811	proxy	542
200812	proxy	2750
200901	proxy	4384
200902	proxy	6322
200903	proxy	7210
200904	proxy	16212
200905	proxy	13153
200906	proxy	14389
200907	proxy	2306
200908	proxy	478
200909	proxy	192
200910	proxy	13700
200911	proxy	9144
200912	proxy	12277
201001	proxy	15383
201002	proxy	11336
201003	proxy	13481
201004	proxy	5280
201005	proxy	7107
201006	proxy	6205
201007	proxy	4008
201008	proxy	6119
201009	proxy	9201
201010	proxy	11331
201011	proxy	11440
201012	proxy	5841
201101	proxy	16768
201102	proxy	14656
201103	proxy	16121
201104	proxy	8681
201105	proxy	9012
201106	proxy	9118
201107	proxy	9300
201108	proxy	34577
201109	proxy	32384
201110	proxy	25308
201111	proxy	24133
201112	proxy	9997
201201	proxy	10192
201202	proxy	7180
201203	proxy	11416
201204	proxy	7722
201205	proxy	10319
201206	proxy	7002
201207	proxy	6091
201208	proxy	30871
201209	proxy	49793
201210	proxy	32969
201211	proxy	24209
201212	proxy	5227
201301	proxy	13660
201302	proxy	6853
201303	proxy	4719
201304	proxy	4838
201305	proxy	18398
201306	proxy	41289
201307	proxy	54796
201308	proxy	47217
201309	proxy	205
201310	proxy	87436
201311	proxy	34563
200601	misc	1778
200602	misc	3005
200603	misc	2412
200604	misc	4195
200605	misc	3062
200606	misc	2879
200607	misc	1862
200608	misc	2274
200609	misc	1767
200610	misc	1908
200611	misc	1489
200612	misc	1025
200701	misc	1602
200702	misc	1160
200703	misc	1092
200704	misc	1253
200705	misc	7221
200706	misc	1476
200707	misc	877
200708	misc	1345
200709	misc	2975
200710	misc	649
200711	misc	463
200712	misc	393
200801	misc	470
200802	misc	457
200803	misc	606
200804	misc	2861
200805	misc	506
200806	misc	418
200807	misc	306
200808	misc	250
200809	misc	266
200810	misc	284
200811	misc	252
200812	misc	287
200901	misc	431
200902	misc	1285
200903	misc	840
200904	misc	352
200905	misc	722
200906	misc	342
200907	misc	145
200908	misc	217
200909	misc	196
200910	misc	165
200911	misc	143
200912	misc	112
201001	misc	139
201002	misc	127
201003	misc	247
201004	misc	145
201005	misc	102
201006	misc	123
201007	misc	120
201008	misc	93
201009	misc	106
201010	misc	91
201011	misc	115
201012	misc	146
201101	misc	167
201102	misc	172
201103	misc	123
201104	misc	85
201105	misc	97
201106	misc	79
201107	misc	77
201108	misc	108
201109	misc	138
201110	misc	125
201111	misc	97
201112	misc	207
201201	misc	123
201202	misc	120
201203	misc	130
201204	misc	111
201205	misc	102
201206	misc	107
201207	misc	86
201208	misc	92
201209	misc	110
201210	misc	113
201211	misc	100
201212	misc	121
201301	misc	127
201302	misc	111
201303	misc	91
201304	misc	104
201305	misc	109
201306	misc	317
201307	misc	82
201308	misc	102
201309	misc	107
201310	misc	115
201311	misc	7
