"month"	"hits"	"regex"	"usergroup"
"200909"	5646	"disruption"	"anonymous"
"200910"	6986	"disruption"	"anonymous"
"200911"	6148	"disruption"	"anonymous"
"200912"	5000	"disruption"	"anonymous"
"201001"	5806	"disruption"	"anonymous"
"201002"	6542	"disruption"	"anonymous"
"201003"	7516	"disruption"	"anonymous"
"201004"	6699	"disruption"	"anonymous"
"201005"	6213	"disruption"	"anonymous"
"201006"	4305	"disruption"	"anonymous"
"201007"	3479	"disruption"	"anonymous"
"201008"	3749	"disruption"	"anonymous"
"201009"	5469	"disruption"	"anonymous"
"201010"	6179	"disruption"	"anonymous"
"201011"	6383	"disruption"	"anonymous"
"201012"	5436	"disruption"	"anonymous"
"201101"	5617	"disruption"	"anonymous"
"201102"	4772	"disruption"	"anonymous"
"201103"	4869	"disruption"	"anonymous"
"201104"	4017	"disruption"	"anonymous"
"201105"	4837	"disruption"	"anonymous"
"201106"	4935	"disruption"	"anonymous"
"201107"	5318	"disruption"	"anonymous"
"201108"	3410	"disruption"	"anonymous"
"201109"	11213	"disruption"	"anonymous"
"201110"	7806	"disruption"	"anonymous"
"201111"	5911	"disruption"	"anonymous"
"201112"	4148	"disruption"	"anonymous"
"201201"	4893	"disruption"	"anonymous"
"201202"	5181	"disruption"	"anonymous"
"201203"	5507	"disruption"	"anonymous"
"201204"	4654	"disruption"	"anonymous"
"201205"	5070	"disruption"	"anonymous"
"201206"	4697	"disruption"	"anonymous"
"201207"	4983	"disruption"	"anonymous"
"201208"	5243	"disruption"	"anonymous"
"201209"	6287	"disruption"	"anonymous"
"201210"	6066	"disruption"	"anonymous"
"201211"	4767	"disruption"	"anonymous"
"201212"	3737	"disruption"	"anonymous"
"201301"	4347	"disruption"	"anonymous"
"201302"	4137	"disruption"	"anonymous"
"201303"	4102	"disruption"	"anonymous"
"201304"	4216	"disruption"	"anonymous"
"201305"	4642	"disruption"	"anonymous"
"201306"	3210	"disruption"	"anonymous"
"201307"	1911	"disruption"	"anonymous"
"201308"	1940	"disruption"	"anonymous"
"201309"	3087	"disruption"	"anonymous"
"201310"	4628	"disruption"	"anonymous"
"201311"	5352	"disruption"	"anonymous"
"201312"	3976	"disruption"	"anonymous"
"201401"	4862	"disruption"	"anonymous"
"200601"	218	"sockpuppet"	"anonymous"
"200602"	279	"sockpuppet"	"anonymous"
"200603"	259	"sockpuppet"	"anonymous"
"200604"	380	"sockpuppet"	"anonymous"
"200605"	307	"sockpuppet"	"anonymous"
"200606"	356	"sockpuppet"	"anonymous"
"200607"	571	"sockpuppet"	"anonymous"
"200608"	614	"sockpuppet"	"anonymous"
"200609"	460	"sockpuppet"	"anonymous"
"200610"	437	"sockpuppet"	"anonymous"
"200611"	421	"sockpuppet"	"anonymous"
"200612"	620	"sockpuppet"	"anonymous"
"200701"	660	"sockpuppet"	"anonymous"
"200702"	640	"sockpuppet"	"anonymous"
"200703"	724	"sockpuppet"	"anonymous"
"200704"	925	"sockpuppet"	"anonymous"
"200705"	673	"sockpuppet"	"anonymous"
"200706"	666	"sockpuppet"	"anonymous"
"200707"	586	"sockpuppet"	"anonymous"
"200708"	554	"sockpuppet"	"anonymous"
"200709"	629	"sockpuppet"	"anonymous"
"200710"	752	"sockpuppet"	"anonymous"
"200711"	670	"sockpuppet"	"anonymous"
"200712"	722	"sockpuppet"	"anonymous"
"200801"	690	"sockpuppet"	"anonymous"
"200802"	668	"sockpuppet"	"anonymous"
"200803"	927	"sockpuppet"	"anonymous"
"200804"	768	"sockpuppet"	"anonymous"
"200805"	1178	"sockpuppet"	"anonymous"
"200806"	1074	"sockpuppet"	"anonymous"
