registration_date	unblocked	indefinite	other	Percentage blocked
2006	104536	2527	0	0.0236029253803835
2007	101229	5834	0	0.0544912808346488
2008	100183	6880	0	0.0642612293696235
2009	100014	7049	0	0.0658397392189645
2010	98769	8293	1	0.0774684064522758
2011	99129	7932	2	0.0741059002643304
2012	98505	8553	5	0.0799342443234357
